snr,bErr
-20,0.74738492063492
-18,0.747353174603173
-16,0.746222222222223
-14,0.745956349206348
-12,0.740698412698412
-10,0.73731746031746
-8,0.73001984126984
-6,0.719361111111111
-4,0.706103174603174
-2,0.691190476190477
0,0.666912698412699
2,0.643619047619048
4,0.620468253968254
6,0.601281746031745
8,0.581567460317459
10,0.572047619047617
12,0.560242063492061
14,0.552499999999999
16,0.5518373015873
18,0.548170634920633
20,0.542912698412696
22,0.545452380952379
24,0.544281746031744
26,0.545103174603173
28,0.542702380952379
