snr,bErr
-20,0.749178571428572
-18,0.747857142857143
-16,0.747472222222222
-14,0.743694444444445
-12,0.739686507936508
-10,0.737964285714286
-8,0.730329365079366
-6,0.72015873015873
-4,0.706170634920635
-2,0.689142857142857
0,0.669444444444444
2,0.641722222222222
4,0.624404761904762
6,0.603448412698413
8,0.588956349206349
10,0.568603174603175
12,0.56525
14,0.555686507936508
16,0.551801587301587
18,0.54559126984127
20,0.541730158730159
22,0.542111111111111
24,0.546742063492063
26,0.546031746031746
28,0.54518253968254
