snr,bErr
-20,0.750123015873016
-18,0.751166666666666
-16,0.747817460317461
-14,0.751039682539683
-12,0.749698412698413
-10,0.751396825396825
-8,0.750007936507937
-6,0.751444444444445
-4,0.752956349206349
-2,0.755503968253968
0,0.760166666666667
2,0.76698015873016
4,0.771861111111112
6,0.780924603174605
8,0.78563888888889
10,0.790539682539683
12,0.791388888888889
14,0.795920634920635
16,0.796833333333334
18,0.798623015873017
20,0.800619047619048
22,0.799496031746033
24,0.800123015873017
26,0.799019841269841
28,0.799996031746032
