snr,bErr
0,0.157008928571428
2,0.112870535714286
4,0.0776919642857142
6,0.0509017857142857
8,0.0337767857142857
10,0.0217991071428572
12,0.0141473214285715
14,0.00900446428571426
16,0.00594196428571426
18,0.00395535714285715
20,0.00256696428571429
22,0.00151785714285715
24,0.00094642857142857
26,0.00053125
28,0.000383928571428571
30,0.000245535714285715
32,0.000116071428571429
34,0.000102678571428571
36,8.03571428571428e-05
38,4.91071428571428e-05
40,2.23214285714286e-05
42,1.33928571428571e-05
44,8.92857142857143e-06
46,0
48,4.46428571428571e-06
50,0
