snr,bErr
0,0.152549019607844
2,0.11007843137255
4,0.0727450980392164
6,0.0484509803921573
8,0.0334117647058823
10,0.0206078431372548
12,0.013156862745098
14,0.0086862745098039
16,0.00594117647058822
18,0.00331372549019607
20,0.0018235294117647
22,0.00154901960784314
24,0.001
26,0.000607843137254902
28,0.000490196078431372
30,0.000372549019607843
32,0.000156862745098039
34,0.000235294117647059
36,7.84313725490196e-05
38,7.84313725490196e-05
40,9.80392156862745e-05
42,0.000137254901960784
44,9.80392156862745e-05
46,7.84313725490196e-05
48,3.92156862745098e-05
50,3.92156862745098e-05
