snr,bErr
0,0.195039215686275
2,0.143901960784315
4,0.101019607843138
6,0.0666274509803928
8,0.0444117647058827
10,0.0282941176470587
12,0.0179607843137254
14,0.0115098039215686
16,0.0082941176470588
18,0.00478431372549019
20,0.00313725490196078
22,0.00227450980392157
24,0.00152941176470588
26,0.000941176470588236
28,0.000647058823529412
30,0.000509803921568627
32,0.000215686274509804
34,0.000431372549019608
36,0.000333333333333333
38,0.000215686274509804
40,7.84313725490196e-05
42,0.000254901960784314
44,0.000294117647058823
46,0.000254901960784314
48,0.000196078431372549
50,0.000333333333333333
