snr,bErr
0,0.38786274509804
2,0.365235294117648
4,0.341137254901961
6,0.321392156862745
8,0.31456862745098
10,0.301117647058824
12,0.299725490196078
14,0.293137254901961
16,0.292156862745098
18,0.29064705882353
20,0.289196078431373
22,0.289607843137255
24,0.290137254901961
26,0.285156862745099
28,0.288274509803922
30,0.284647058823529
32,0.292607843137255
34,0.292627450980393
36,0.286941176470589
38,0.282725490196079
40,0.283274509803922
42,0.286666666666667
44,0.288725490196079
46,0.288862745098039
48,0.287980392156863
50,0.286372549019608
